Timestamp,FPS,Inference Time (s),Latency (s),RAM Usage (%),CPU Usage (%),GPU Usage (%)
2025-07-03T09:52:14.172016,3.82,0.0888,0.0972,85.4,15.3,40.0
2025-07-03T09:52:14.435997,3.82,0.0921,0.1015,85.4,10.1,40.0
2025-07-03T09:52:14.686865,3.82,0.092,0.0991,85.4,9.7,35.0
2025-07-03T09:52:14.949262,3.82,0.0921,0.1001,85.4,7.6,35.0
2025-07-03T09:52:15.211657,3.82,0.0915,0.0996,85.4,8.5,35.0
2025-07-03T09:52:15.468354,3.82,0.0889,0.0979,85.4,10.8,35.0
2025-07-03T09:52:15.736893,3.82,0.0918,0.1013,85.4,11.5,33.0
2025-07-03T09:52:15.993598,3.82,0.0902,0.0979,85.4,6.9,33.0
2025-07-03T09:52:16.243560,3.82,0.0911,0.0995,85.4,7.8,33.0
2025-07-03T09:52:16.524680,3.82,0.0895,0.0985,85.4,5.4,33.0
2025-07-03T09:52:16.789283,3.82,0.0952,0.1035,85.4,9.4,36.0
2025-07-03T09:52:17.054434,3.82,0.0981,0.1049,85.5,12.1,36.0
2025-07-03T09:52:17.301873,3.82,0.0893,0.0969,85.4,11.5,36.0
2025-07-03T09:52:17.564514,3.82,0.0969,0.1065,85.4,10.1,33.0
2025-07-03T09:52:17.830513,3.82,0.0961,0.1039,85.4,27.5,33.0
2025-07-03T09:52:18.088419,3.82,0.088,0.0966,85.4,17.7,33.0
2025-07-03T09:52:18.348007,3.82,0.0913,0.0992,85.5,11.3,33.0
2025-07-03T09:52:18.595365,3.82,0.0894,0.0972,85.4,19.3,32.0
2025-07-03T09:52:18.867812,3.82,0.0915,0.0997,85.4,19.8,32.0
2025-07-03T09:52:19.122833,3.82,0.0897,0.0972,85.4,19.8,32.0
2025-07-03T09:52:19.389524,3.82,0.09,0.0991,85.4,15.4,32.0
2025-07-03T09:52:19.648001,3.82,0.0951,0.1039,85.5,11.8,32.0
2025-07-03T09:52:19.897484,3.82,0.0877,0.0957,85.4,11.5,32.0
2025-07-03T09:52:20.147648,3.83,0.0887,0.0966,85.5,13.8,32.0
2025-07-03T09:52:20.397723,3.83,0.0906,0.1,85.5,9.8,32.0
2025-07-03T09:52:20.647086,3.83,0.0897,0.0974,85.5,13.3,32.0
2025-07-03T09:52:20.893801,3.83,0.0864,0.0944,85.5,8.7,32.0
2025-07-03T09:52:21.143638,3.83,0.0876,0.0972,85.5,13.7,32.0
2025-07-03T09:52:21.408041,3.83,0.0887,0.0976,85.5,13.5,32.0
2025-07-03T09:52:21.673676,3.83,0.0981,0.1051,85.5,13.6,33.0
2025-07-03T09:52:21.922576,3.83,0.0864,0.0942,85.5,13.0,33.0
